poly_idx,year,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,tas_adj,tas_sq
0,1980,Lake of the Woods,Minnesota,27,077,27077,-6213.399679246378,-70485.79588184202
0,1981,Lake of the Woods,Minnesota,27,077,27077,-5652.686958790734,-82031.59614372217
0,1982,Lake of the Woods,Minnesota,27,077,27077,-6508.535819029801,-69875.1708595238
0,1983,Lake of the Woods,Minnesota,27,077,27077,-5841.309675088179,-73628.67779416473
0,1984,Lake of the Woods,Minnesota,27,077,27077,-5993.530919462583,-74899.66475595052
0,1985,Lake of the Woods,Minnesota,27,077,27077,-6593.952010113499,-71974.13353226965
0,1986,Lake of the Woods,Minnesota,27,077,27077,-5939.392614782811,-81474.23438574887
0,1987,Lake of the Woods,Minnesota,27,077,27077,-5221.676339209647,-84509.30783553778
0,1988,Lake of the Woods,Minnesota,27,077,27077,-6026.85386434537,-61761.61620899129
0,1989,Lake of the Woods,Minnesota,27,077,27077,-6498.486230555947,-58912.29022148862
1,1980,Ferry,Washington,53,019,53019,-4946.618060252398,-102978.77985419276
1,1981,Ferry,Washington,53,019,53019,-4698.9004575302515,-104257.3377844515
1,1982,Ferry,Washington,53,019,53019,-5072.18944935483,-101641.11482877994
1,1983,Ferry,Washington,53,019,53019,-4820.939117748653,-102792.69683182517
1,1984,Ferry,Washington,53,019,53019,-5169.5865851178805,-104193.8995457098
1,1985,Ferry,Washington,53,019,53019,-5385.197322348325,-93713.59313855735
1,1986,Ferry,Washington,53,019,53019,-4707.435038502877,-100081.3309216415
1,1987,Ferry,Washington,53,019,53019,-4417.444497823354,-95052.7068427436
1,1988,Ferry,Washington,53,019,53019,-4677.5664008285885,-98042.54698047793
1,1989,Ferry,Washington,53,019,53019,-4824.209143306789,-99455.29873204423
2,1980,Stevens,Washington,53,065,53065,-4566.241163222099,-100276.76051203017
2,1981,Stevens,Washington,53,065,53065,-4317.838189253004,-99893.99761094221
2,1982,Stevens,Washington,53,065,53065,-4680.742875592332,-98243.2755486501
2,1983,Stevens,Washington,53,065,53065,-4440.019661487157,-98654.81415728145
2,1984,Stevens,Washington,53,065,53065,-4757.284429706231,-101327.01694866136
2,1985,Stevens,Washington,53,065,53065,-5092.626961441582,-92459.42262215354
2,1986,Stevens,Washington,53,065,53065,-4323.382139818676,-96256.69319975495
2,1987,Stevens,Washington,53,065,53065,-4098.2095554382995,-91276.76184147653
2,1988,Stevens,Washington,53,065,53065,-4302.79051580454,-94306.34543092693
2,1989,Stevens,Washington,53,065,53065,-4457.672282284815,-96129.59283105546
3,1980,Okanogan,Washington,53,047,53047,-5081.617661581473,-104205.43672546848
3,1981,Okanogan,Washington,53,047,53047,-4772.442021610959,-104957.94276831955
3,1982,Okanogan,Washington,53,047,53047,-5188.015605848786,-102679.49595689488
3,1983,Okanogan,Washington,53,047,53047,-4932.072465153548,-104520.39520590864
3,1984,Okanogan,Washington,53,047,53047,-5279.174111778078,-105323.71160378748
3,1985,Okanogan,Washington,53,047,53047,-5492.6542338203435,-94479.32645945504
3,1986,Okanogan,Washington,53,047,53047,-4808.425121373752,-101193.71931466907
3,1987,Okanogan,Washington,53,047,53047,-4500.225419053512,-96435.98131124247
3,1988,Okanogan,Washington,53,047,53047,-4794.687386273195,-100101.9063742719
3,1989,Okanogan,Washington,53,047,53047,-4922.416190034572,-100838.75852443691
4,1980,Pend Oreille,Washington,53,051,53051,-4975.9812189307995,-105335.62920796475
4,1981,Pend Oreille,Washington,53,051,53051,-4786.863511850126,-107154.13167762796
4,1982,Pend Oreille,Washington,53,051,53051,-5122.819364224095,-104289.92747911002
4,1983,Pend Oreille,Washington,53,051,53051,-4873.121259912616,-104725.02503766952
